题型,题目,选项,答案,解析
单选题,[2019年][河南中安]根据法的不同效力层级，下列安全生产法律法规和规章中，属于最低层级的安全生产立法是（    ）。,A.国务院通过的《安全生产许可证条例》|B.某直辖市人大常委会通过的《××市安全生产条例》|C.某省人民政府通过的《××省煤矿安全生产监督管理规定》|D.全国人大常委会通过的《特种设备安全法》,C,本题主要考查的是法的效力层级，法律＞行政法规＞地方性法规＞地方政府规章，属于高频考点。做题思路：需重点掌握法律法规的命名规则，通过法律法规的名称判定其所属的类别，以及掌握法的效力层级。 A属于行政法规；B属于地方性法规；C属于地方政府规章；D属于法律。依据法的效力层级由高到低排序是，法律、行政法规、地方性法规、地方政府规章。故选C。
单选题,[2019年][河南中安]县政府通过招商引资，在当地成立了一家大型股份制化工公司。根据《安全生产法》，关于该公司安全生产责任的说法，正确的是（    ）。,A.该公司应当保障安全生产条件所必需的资金投入，用于提高生产效率|B.该公司必须建立健全安全生产责任制和安全生产规章制度，改善安全生产条件，推进安全生产标准化建设|C.该公司股东大会对企业安全生产工作全面负责，应当定期听取安全生产工作汇报|D.该公司在制定或者修改有关安全生产的规章制度时，可以听取本公司工会的意见,B,本题主要考查的是公司安全生产责任，属于高频考点。做题思路：先理解掌握公司安全生产责任主要内容和对应关系，后进行区分记忆。 A错误，错在“用于提高生产效率”。根据《安全生产法》，第二十三条第二款：有关生产经营单位应当按照规定提取和使用安全生产费用，专门用于改善安全生产条件；C错误，错在“股东大会”。第五条：生产经营单位的主要负责人是本单位安全生产第一责任人，对本单位的安全生产工作全面负责；D错误，错在“可以”。第七条：工会依法对安全生产工作进行监督。生产经营单位的工会依法组织职工参加本单位安全生产工作的民主管理和民主监督，维护职工在安全生产方面的合法权益。生产经营单位制定或者修改有关安全生产的规章制度，应当听取工会的意见。故选B。
单选题,[2019年][河南中安]刘某、赵某、黄某、张某四人合伙成立一家金属冶炼公司，该公司董事长由最大的股东刘某担任，但刘某因生病长期休养，并不直接参与公司生产经营活动；公司总经理由赵某担任，全面负责生产经营活动；黄某担任冶炼车间主任，负责车间日常生产管理；张某担任公司工会主席。根据《安全生产法》，由（    ）负责督促、检查公司安全生产工作，及时消除安全生产事故隐患。,A.刘某|B.赵某|C.张某|D.黄某,B,本题主要考查的是生产经营单位的主要负责人，属于高频考点。根据《安全生产法》，生产经营单位主要负责人应当是直接领导、指挥生产经营单位日常生产经营活动、能够承担生产经营单位安全生产工作主要领导的决策人。故选B。
单选题,[2019年][河南中安]某矿山企业为改善矿井安全生产条件，制定了安全生产费用提取和使用管理制度。根据《安全生产法》，关于该企业安全生产费用提取和使用的说法，正确的是（    ）。,A.该企业应当根据经营情况提取和使用安全生产费用|B.该企业可使用安全生产费用提高安全生产管理人员待遇|C.该企业应当在成本中据实列支安全生产费用|D.该企业在发生亏损时可以停止提取安全生产费用,C,本题主要考查的是安全生产费用提取和使用，属于高频考点。做题思路：先理解掌握安全生产费用的提取依据，后进行着重记忆。A错误，错在“根据经营情况提取和使用”；B错误，错在“提高待遇”。有关生产经营单位应当按照规定提取和使用安全生产费用，专门用于改善安全生产条件；D错误，错在“亏损时可以停止提取”。根据《安全生产法》，生产经营单位应当具备的安全生产条件所必需的资金投入，由生产经营单位的决策机构、主要负责人或者个人经营的投资人予以保证，并对由于安全生产所必需的资金投入不足导致的后果承担责任。故选C。
单选题,[2019年][河南中安]根据《生产安全事故应急预案管理办法》，关于应急预案备案的说法，正确的是（    ）。,A.中央企业总部的应急预案，报所在地省级或设区的市级应急管理部门备案|B.油气输送管线运营企业的应急预案，报所跨行政区域的县级应急管理部门备案|C.煤矿企业的应急管理，报所在地的煤矿安全监察机关备案|D.省属金属冶炼企业的应急预案，报省级应急管理部门备案,D,本题主要考查的是应急预案备案。做题思路：先理解掌握各企业的性质和备案的层级，后进行区分记忆。A错误，错在“省级或设区的市级”。根据《生产安全事故应急预案管理办法》，中央企业总部的应急预案，报国务院主管的负有安全生产监督管理职责的部门备案，并抄送应急管理部；B错误，错在“没写和其他负有安全生产监督管理职责的部门进行备案，还应当抄送所经行政区域的县级人民政府应急管理部门”。油气输送管线运营企业的应急预案，按照分级属地原则，向县级以上人民政府应急管理部门和其他负有安全生产监督管理职责的部门进行备案，还应当抄送所经行政区域的县级人民政府应急管理部门；C错误，错在“煤矿安全监察机关”。煤矿企业的应急预案应按照分级属地原则，向县级以上人民政府应急管理部门和其他负有安全生产监督管理职责的部门进行备案，还应当抄送所在地的煤矿安全监察机构。故选D。
单选题,[2019年][河南中安]甲市乙县某焦化企业发生一起有毒气体泄漏事故，当场造成3人死亡、2人重伤。根据《生产安全事故信息报告和处置办法》，关于该事故信息报告与处置的做法，正确的是（    ）。,A.甲市安全监管部门负责人接到报告后，立即安排乙县安全监管部门负责人代其赶赴事故现场组织抢险救援|B.乙县安全监管部门从县医院接到又有1人因伤势过重死亡的报告后，因听说甲市安全监管部门已知该消息，故未向甲市安全监管部门补报|C.乙县安全监管部门按照有关规定，在县政府的统一安排下，组织开展事故调查处理工作|D.乙县安全监管部门在接到报告后2小时内上报甲市安全监管部门，并在1小时内电话快报省安全监管部门,D,本题主要考查的是事故报告，属于高频考点。做题思路：先理解掌握事故等级和上报的主体及时间，后进行区分记忆。A错误，错在“乙县”。发生较大事故的，设区的市级安全生产监督管理部门、省级煤矿安全监察局负责人应当立即赶赴事故现场；B错误，错在“未向甲市安全监管部门补报”。根据《生产安全事故信息报告和处置办法》，第十一条：事故具体情况暂时不清楚的，负责事故报告的单位可以先报事故概况，随后补报事故全面情况。事故信息报告后出现新情况的，负责事故报告的单位应当依照本办法第六条、第七条、第八条、第九条的规定及时续报。较大涉险事故、一般事故、较大事故每日至少续报1次；重大事故、特别重大事故每日至少续报2次。自事故发生之日起30日内（道路交通、火灾事故自发生之日起7日内），事故造成的伤亡人数发生变化的，应于当日续报；C错误，错在“县政府”。根据《生产安全事故报告和调查处理条例》，第十九条：特别重大事故由国务院或者国务院授权有关部门组织事故调查组进行调查。重大事故、较大事故、一般事故分别由事故发生地省级人民政府、设区的市级人民政府、县级人民政府负责调查。故选D。
单选题,[2019年][河南中安]甲建筑公司在某市承建商业大厦，进行吊装作业。根据《安全生产法》，关于该吊装作业现场安全管理的说法，正确的是（    ）。,A.甲建筑公司应当安排专门人员进行现场安全管理|B.该市安全监管部门应当安排专门人员进行现场安全管理|C.该市建设主管部门应当安排专门人员负责现场安全管理|D.项目设计单位应当安排专门人员负责现场安全管理,A,本题主要考查的是现场安全管理。根据《安全生产法》，第四十三条：生产经营单位进行爆破、吊装、动火、临时用电以及国务院应急管理部门会同国务院有关部门规定的其他危险作业，应当安排专门人员进行现场安全管理，确保操作规程的遵守和安全措施的落实。故选A。
单选题,[2019年][河南中安]甲煤矿企业拟对矿井进行改扩建，通过招投标与乙矿山设计院签订了安全设施设计合同，与丙矿山建筑公司签订了施工合同，与丁公司签订了建设项目施工监理合同。根据《安全生产法》，关于该煤矿改扩建项目安全管理的说法，正确的是（    ）。,A.项目安全设施设计应当经甲煤矿企业审查批准后即可施工|B.乙矿山设计院、丁公司应当对该项目安全设施设计共同负责|C.丙公司应当对该矿井改扩建项目安全设施的施工质量负责|D.项目竣工后应当由安全监管部门负责组织对安全设施进行验收,C,本题主要考查的是煤矿改扩建项目安全管理。做题思路：先理解掌握主管煤矿各项事宜的部门，和各方主体的责任，后进行区分记忆。A错误，错在“经甲煤矿企业审查”。矿山、金属冶炼建设项目和用于生产、储存、装卸危险物品的建设项目的安全设施设计应当按照国家有关规定报经有关部门审查，审查部门及其负责审查的人员对审查结果负责；B错误，错在“丁公司”。建设项目安全设施的设计人、设计单位应当对安全设施设计负责；C正确。根据《安全生产法》，第三十四条：矿山、金属冶炼建设项目和用于生产、储存、装卸危险物品的建设项目的施工单位必须按照批准的安全设施设计施工，并对安全设施的工程质量负责；D错误，错在“由安全监管部门负责组织验收”。矿山、金属冶炼建设项目和用于生产、储存、装卸危险物品的建设项目竣工投入生产或者使用前，应当由建设单位负责组织对安全设施进行验收；验收合格后，方可投入生产和使用。负有安全生产监督管理职责的部门应当加强对建设单位验收活动和验收结果的监督核查。故选C。
单选题,[2019年][河南中安]根据《安全生产法》，关于企业安全生产管理的做法，正确的是（    ）。,A.某化工企业因厂房紧张，在外租用一处独栋三层楼房存放电石半成品，一楼用作仓库；二楼用作仓库管理人员宿舍，三楼用作员工活动室|B.某肉类加工企业生产车间设有四个安全出口，为方便职工考勤管理，只保留一个出口作为职工上下班使用，其他三个出口长期锁闭|C.某KTV酒吧重新进行装修，改变了内部格局，同时设置了若干疏散标志和两个紧急安全出口|D.某煤矿企业根据矿井设计要求建设了一处地面炸药库，该炸药库远离该矿职工自盖简易生活用房，但紧邻煤矿地面主要生产经营场所,C,本题主要考查的是企业安全生产管理。做题思路：先理解掌握企业安全生产管理的细节，后进行加强记忆。A错误，错在“二楼用作仓库管理人员宿舍”；B错误，错在“保留一个出口，其他三个出口长期锁闭”；D错误，错在“紧邻煤矿地面主要生产经营场所”。根据《安全生产法》，第四十二条：生产、经营、储存、使用危险物品的车间、商店、仓库不得与员工宿舍在同一座建筑物内，并应当与员工宿舍保持安全距离。生产经营场所和员工宿舍应当设有符合紧急疏散要求、标志明显、保持畅通的出口、疏散通道。禁止占用、锁闭、封堵生产经营场所或者员工宿舍的出口、疏散通道。故选C。
单选题,[2019年][河南中安]根据《安全生产法》，关于生产安全事故应急救援与调查处理的说法，正确的是（    ）。,A.单位负责人接到事故报告后，除因病重、出国或无法及时赶到现场等原因外，必须迅速采取一切有效措施，组织事故抢救|B.除尚未查清伤亡人数、财产损失等原因外，必须立即将事故报告当地安全监管部门|C.除尚未核实事故起因和伤亡人数等原因外，不得迟报事故|D.在任何情况下均不得故意破坏事故现场和毁灭有关证据,D,本题主要考查的是事故应急救援与调查处理，属于高频考点。做题思路：先理解掌握生产经营单位和政府部门的主要职责，后进行区分记忆。A错误，错在“除因病重、出国或无法及时赶到现场等原因外”；B错误，错在“除尚未查清伤亡人数、财产损失等原因外”；D错误，错在“除尚未核实事故起因和伤亡人数等原因外”。根据《安全生产法》，第八十三条：生产经营单位发生生产安全事故后，事故现场有关人员应当立即报告本单位负责人。单位负责人接到事故报告后，应当迅速采取有效措施，组织抢救，防止事故扩大，减少人员伤亡和财产损失，并按照国家有关规定立即如实报告当地负有安全生产监督管理职责的部门，不得隐瞒不报、谎报或者迟报，不得故意破坏事故现场、毁灭有关证据。故选D。
