题型,题目,选项,答案,解析
单选题,[2020年][河南中安]某市常住人口12万人，截至2019年底，全年发生安全伤亡事故五起，其中火灾事故一起，死亡两人；特种设备事故一起，死亡一人；烟花爆竹事故一起，重伤三人；道路交通事故一起，轻伤七人；农机事故一起，轻伤一人，造成直接经济损失760万元。下列事故统计指标中，计算正确的是（ ）。,A.千人重伤率0.025|B.千人死亡率0.016|C.百万人火灾死亡率15.66|D.重大事故率0.6,A,本题主要考查的是事故统计指标的计算，属于高频考点。做题思路：熟练掌握各种事故统计指标的计算方法，根据已知条件代入公式。A正确，千人重伤率＝重伤人数/从业人员数×103＝3/120000×103＝0.025；B错误，千人死亡率＝死亡人数/从业人员数×103＝3/120000×103＝0.025；C错误，百万人火灾死亡率＝火灾造成的死亡总人数/地区总人口×106＝2/120000×106＝16.667；D错误，重大事故率＝重大事故起数/事故总起数×100%＝0/5×100%＝0。故选A。
单选题,[2020年][河南中安]某煤矿经鉴定由低瓦斯矿井变更为高瓦斯矿井，该矿设备科拟购置一批防爆电气设备，在征求部门意见时，安全部门提出设备选型要考虑本质安全型防爆结构型式及相应的设备保护等级。关于防爆结构型式及设备保护等级的选择，正确的是（ ）。,A.型式选i，设备保护等级选Ma|B.型式选d，设备保护等级选Mb|C.型式选e，设备保护等级选Mb|D.型式选o，设备保护等级选Ma,A,本题主要考查的是防爆电气设备。做题思路：本题为技术科目的知识点，本题的出现，说明在近两年的考试中真题越来越综合，很可能出现跨科目的知识点，这需要我们在学习和考试中多想多记。题目的题干中指出“安全部门提出设备选型要考虑本质安全型防爆结构型式及相应的设备保护等级”，在技术科目中我们知道本质安全型的防爆电气设备标志为“i”，对于高瓦斯矿井应当选用Ma级的保护级别。因此型式选i，设备保护等级选Ma。故选A。
单选题,[2020年][河南中安]根据《中共中央国务院关于推进安全生产领域改革发展的意见》，全国要构建重大危险源信息管理体系，对重点行业、重点区域、重点企业实行风险预警控制，重大危险源信息管理体系分为（ ）。,A.国家、省二级|B.国家、省、市三级|C.国家、省、市、县四级|D.国家、省、市、县、乡五级,C,本题主要考查的是《中共中央国务院关于推进安全生产领域改革发展的意见》，并非管理教材上的内容。做题思路：这一意见在安全生产领域十分重要，在近几年的考试中也经常出现，因此要求我们对该意见中的一些重点内容有所掌握。在《中共中央国务院关于推进安全生产领域改革发展的意见》第五部分——建立安全预防控制体系中指出“构建国家、省、市、县四级重大危险源信息管理体系”。故选C。
单选题,[2020年][河南中安]2020年4月1日国务院安委会下发通知，决定在全国开展安全生产专项整治三年行动，结合安全生产月主题，积极推进安全宣传“五进”活动。安全宣传“五进”是指（ ）。,A.进企业、进社区、进农村、进学校、进家庭|B.进机场、进车站、进码头、进商场、进餐厅|C.进机关、进工厂、进社区、进学校、进家庭|D.进电视、进广播、进报纸、进互联网、进户外传媒,A,本题主要考查是《国务院安委会办公室 应急管理部〈关于开展2020年全国“安全生产月”和“安全生产万里行”活动的通知〉》，其根源来自《推进安全宣传“五进”工作方案》。做题思路：在历年考试中常出现“安全生产月”主题，在2020的考试中未考查，取而代之的是该文件中的其他内容。因此我们在以后的学习中，要通读一遍当年的“安全生产月”和“安全生产万里行”活动的通知，了解其有关的内容。在《推进安全宣传“五进”工作方案》中，五进活动是指“进企业、进农村、进社区、进学校、进家庭”。故选A。
单选题,[2020年][河南中安]某企业安全管理人员在组织员工学习应知应会培训课后，针对“安全生产监管监察”的内容进行了讨论。关于安全生产监管体制的说法，错误的是（ ）。,A.应急管理部依法对全国安全生产实施综合监督管理|B.生态环境部等有关部门对其行业安全生产实行行业监管或专业管理|C.特种设备监察实行国家垂直管理|D.煤矿安全监管实行国家监察与地方监管相结合,C,本题主要考查的是我国的安全生产监管体制。做题思路：掌握我国的安全生产领域（包括煤矿、特种设备）等的监管监察体制特点。A正确，应急管理部是国务院主管安全生产综合监督管理的组成部门，依法对全国安全生产实施综合监督管理；B正确，交通运输、水利、住房和城乡建设、工业和信息化、文化和旅游、市场监管、生态环境等国务院有关部门分别对交通、铁路、民航、水利、电力、建筑、国防工业、邮政、电信、旅游、特种设备、核安全等行业和领域的安全生产工作负责监督管理，即行业监管或专业管理；C错误，特种设备的监察实行省以下垂直管理的体制，而不是国家垂直管理；D正确，煤矿安全的监管实行的是国家监察与地方监管相结合的方式。故选C。
单选题,[2020年][河南中安]安全生产监督管理有监督检查、行政许可和行政处罚等多种形式。行政执法人员在执法时，须出示有效的行政执法证件。关于行政执法时出示证件的说法，正确的是（ ）。,A.对煤化工企业行政执法时，应出示企业所在地县级人民政府制作的证件|B.对煤矿行政执法时，应出示企业所在地省煤矿安全生产监察局制作的证件|C.对机械企业行政执法时，应出示企业所在地市级负责安全生产监督管理的部门制作的证件|D.对建筑施工企业行政执法时，应出示企业所在地省级住建部门制作的证件,A,本题主要考查的是安全生产监督管理中执法证件的出示。做题思路：掌握行政执法人员出示的执法证件的发放部门，同时要注意执法证件和工作证是不同的。A正确，安全生产行政执法人员在执行公务时，必须出示国务院有关部门或者县级以上地方人民政府统一制作的有效行政执法证件；B错误，对煤矿进行安全监察，必须出示国家煤矿安全监察局统一制作的煤矿安全监察员证；C错误，执法时，出示国务院有关部门或者县级以上地方人民政府统一制作的有效行政执法证件，而不是地市级负责安全生产监督管理的部门制作的证件；D错误，安全生产监督管理人员执法时，出示的应当是国务院有关部门制作的执法证件，而不是省级。故选A。 【注意】该考点内容有变换，建议按照《安全生产法》释义的相关说法记忆：安全生产监督检查人员在执行监督检查任务时，应当出示省级人民政府或者国务院有关部门统一制发的执法证件。
单选题,[2020年][河南中安]不锈钢压力容器制造过程包括：钢板切割下料、成形、焊接、无损检测、吊装组对、热处理和酸洗钝化等工序，生产过程中存在烫伤、物体打击、高温、腐蚀性气体等危险有害因素。根据《职业病危害因素分类目录》，下列有害因素中，属于物理因素的是（ ）。,A.金属烟|B.电焊烟尘|C.紫外线|D.X射线,C,本题主要考查的是《职业病危害因素分类目录》，属于高频考点。学习思路：了解《职业病危害因素分类目录》的分类，根据各自的特性区分类别。在《职业病危害因素分类目录》共分为六大类，包括：粉尘、化学因素、物理因素、放射性因素、生物因素和其他因素。C属于，ABD不属于，A选项属于其他因素；B选项属于粉尘；C选项属于物理因素；D选项属于放射性因素。故选C。
单选题,[2020年][河南中安]【根据新规改编】某化工企业主营甲醇生产与销售。为保证原料供应，该企业收购了一家小型露天煤矿。2019年该企业生产甲醇3万吨、煤炭20万吨，甲醇营业收入2000万元，煤矿业务收入100万元。根据《企业安全生产费用提取和使用管理办法》，该企业2019年应提取安全生产费用为（ ）。,A.167.5万元|B.100万元|C.140万元|D.180万元,A,本题主要考查的是安全生产费用提取的计算，属于高频考点。做题思路：考查方式多以计算某行业的全年安全生产费用的提取额度为主，需要掌握各类型企业的安全生产费用计算方法。本题中该企业属于混业经营，其能够按照业务类别分别核算，因此其安全生产费用应以各业务营收分别计提。其煤矿业务为露天煤矿，计提标准为吨煤5元，即煤矿业务安全生产费用为20万×5＝100万元。其甲醇生产为危险品生产业务，计提标准为：①营业收入不超过1000万元的，按照4.5%提取；②营业收入超过1000万元至1亿元的部分，按照2.25%提取；③营业收入超过1亿元至10亿元的部分，按照0.55%提取；④营业收入超过10亿元的部分，按照0.2%提取。即甲醇生产业务安全生产费用为1000万×4.5%＋（2000－1000）万×2.25%＝67.5万。综上，该企业2019全年应提取安全生产费用为100万＋67.5万＝167.5万元。故选A。
单选题,[2020年][河南中安]某大型冷冻企业的液氨储罐量为50t，属于一级危险化学品重大危险源，按照要求建立了危险化学品重大危险源监控系统。根据《危险化学品重大危险源监督管理暂行规定》（国家安全监管总局令第40号公布，第79号修正），关于液氨储罐重大危险源监督管理要求的说法，错误的是（ ）。,A.监控系统的电子数据保存时间不应少于30天|B.液氨储罐应配备独立安全仪表系统|C.液氨储罐应设置紧急切断装置|D.液氨压缩机房应配备两套气密性化学防护服,D,本题主要考查的是危险化学品重大危险源监督管理，属于高频考点。做题思路：掌握危险化学品重大危险源监督管理的有关要求，根据危险化学品种类、数量、生产、使用工艺等实际情况区分控制措施。A正确，重大危险源配备温度、压力、液位、流量、组份等信息的不间断采集和监测系统以及可燃气体和有毒有害气体泄漏检测报警装置，并具备信息远传、连续记录、事故预警、信息存储等功能；一级或者二级重大危险源，具备紧急停车功能。记录的电子数据的保存时间不少于30天；B正确，涉及毒性气体、液化气体、剧毒液体的一级或者二级重大危险源，配备独立的安全仪表系统（SIS）；氨气属于毒性气体，因此应当配备独立的安全仪表系统；C正确，对重大危险源中的毒性气体、剧毒液体和易燃气体等重点设施，设置紧急切断装置。氨气属于毒性气体，因此液氨储罐应设置紧急切断装置；D错误，涉及剧毒气体的重大危险源，还应当配备两套以上（含本数）气密型化学防护服。氨气并不属于剧毒气体，氨气压缩机房也不属于重大危险源。故选D。
单选题,[2020年][河南中安]某公司承接地铁车站项目。车站采用暗挖法施工，埋深近30m，地下水丰富，车站结构需要采用人工挖孔桩作业。结合作业方式和作业条件，公司为作业人员配备了相应的劳动防护用品。下列属于作业人员必须配备的劳动防护用品是（ ）。,A.有色防护眼镜|B.绝缘鞋|C.雨靴|D.矿灯,C,本题主要考查的是劳动防护用品的配备，属于高频考点。做题思路：根据劳动者工作场所中存在的危险、有害因素种类及危害程度、劳动环境条件等制定劳动防护用品配备标准。A不属于，有色防护眼镜主要防护各类有害光线，在地下挖孔桩并不存在有害光线，因此不是必备的防护用品；B不属于，绝缘鞋用于在电气设备上工作时作为辅助安全用具，防触电伤害，因此不是必备的防护用品；C属于，雨鞋即防水胶鞋主要功能为防水、防滑和耐磨，在地下水丰富的地下作业时，必须配备；D不属于，矿灯严格意义上不属于劳动防护用品。故选C。
