题型,题目,选项,答案,解析
单选题,[2019年][河南中安]凡土石方施工工程、路面建设与养护、流动式起重装卸作业和各种建筑工程所需的综合性机械化施工工程所必需的机械装备通称为工程机械。下列机械装备中，属于工程机械的是（    ）。,A.卷扬机|B.拖拉机|C.压缩机|D.挖掘机,D,【答案】D 【解析】本题考查机械分类，属于高频考点。做题思路：工程机械常见于工地。 凡土石方施工工程、路面建设与养护、流动式起重装卸作业和各种建筑工程所需的综合性机械化施工工程所必需的机械装备通称为工程机械。包括挖掘机、铲运机、工程起重机、压实机、打桩机、钢筋切割机、混凝土搅拌机、路面机、凿岩机、线路工程机械以及其他专用工程机械等。A错误，卷扬机属于起重运输机械；B错误，拖拉机属于农业机械；C错误，压缩机属于通用机械。故选D。
单选题,[2019年][河南中安]机械安全防护措施包括防护装置、保护装置及其他补充保护措施。机械保护装置通过自身的结构功能限制或防止机器的某种危险，实现消除或减小风险的目的。下列用于机械安全防护措施的机械装置中，不属于保护装置的是（    ）。,A.联锁装置|B.能动装置|C.限制装置|D.固定装置,D,【答案】D 【解析】本题考查安全防护措施，属于高频考点。做题思路：防护装置有固定式、活动式、联锁式，其他的是保护装置。 ABC属于，保护装置：防护装置以外的安全防护装置，通过自身的结构功能限制或防止机器的某种危险，消除或减小风险的装置。保护装置的种类包括：①联锁装置；②能动装置；③保持—运行控制装置；④双手操纵装置；⑤敏感保护设备；⑥有源光电保护装置；⑦机械抑制装置；⑧限制装置；⑨有限运动控制装置。D不属于，固定装置属于防护装置。故选D。
单选题,[2019年][河南中安]运动部件是金属切削机床安全防护的重点，当通过设计不能避免或不能充分限制危险时，应采取必要的安全防护装置，对于有行程距离要求的运动部件应设置（    ）。,A.限位装置|B.缓冲装置|C.超负荷保护装置|D.防挤压保护装置,A,【答案】A 【解析】本题考查防护装置，属于高频考点。做题思路：限位装置与行程距离相对应。 A正确，运动部件在有限滑轨运行或有行程距离要求的，应设置可靠的限位装置；B错误，对于有惯性冲击的机动往复运动部件：应设置缓冲装置；C错误，对于可能超负荷（压力、起升量、温度等）发生部件损坏而造成伤害的，应设置超负荷保护装置，并在机床上或说明书中标明极限使用条件；D错误，运动部件与运动部件之间、运动部件与静止部件（包括墙体等构筑物）之间，不应存在挤压危险和剪切危险，否则应限定避免人体各部位受到伤害的最小安全距离。故选A。
单选题,[2019年][河南中安]冲压机是危险性较大的设备，从劳动安全卫生角度看，冲压加工过程的危险有害因素来自机电、噪声、振动等方面。下列冲压机的危险有害因素中，危险性最大的是（    ）。,A.噪声伤害|B.振动伤害|C.机械伤害|D.电击伤害,C,【答案】C 【解析】本题考查冲压机的危险有害因素，属于高频考点。做题思路：最常见的、危险性最大的伤害一般均为机械伤害。 压力机（包括剪切机）是危险性较大的机械，从劳动安全卫生角度看，压力加工的危险因素有机械危险、电气危险、热危险、噪声振动危险（对作业环境的影响很大）、材料和物质危险以及违反安全人机学原则导致危险等，其中以机械伤害的危险性最大。故选C。
单选题,[2019年][河南中安]压力机危险性较大，其作业区应安装安全防护装置、以保护暴露于危险区的人员安全。下列安全防护装置中，属于压力机安全保护控制装置的是（    ）。,A.推手式安全装置|B.拉手式安全装置|C.光电式安全装置|D.栅栏式安全装置,C,【答案】C 【解析】本题考查压力机安全防护装置，属于高频考点。做题思路：保护控制装置的核心是“控制”。 安全保护装置包括活动、固定栅栏式、推手式、拉手式等。安全保护控制装置包括双手操作式、光电感应保护装置等。故选C。
单选题,[2019年][河南中安]易熔合金塞装置由钢制塞体及其中心孔中浇铸的易熔合金构成，其工作原理是通过温度控制气瓶内部的温升压力，当气瓶周围发生火灾或遇到其他意外高温达到预定的动作温度时，易熔合金即熔化，易熔合金塞装置动作，瓶内气体由此塞孔排出，气瓶泄压。车用压缩天然气的易熔合金塞装置的动作温度为（    ）。,A.80℃|B.95℃|C.110℃|D.125℃,C,【答案】C 【解析】本题考查气瓶安全泄压装置，属于高频考点。 我国目前使用的易熔塞合金装置的公称动作温度有102.5℃、100℃、70℃；（1）用于溶解乙炔的易熔塞合金装置：公称动作温度为100℃；（2）车用压缩天然气气瓶的易熔塞合金装置：动作温度为110℃；（3）公称动作温度70℃的易熔塞合金装置用于除溶解乙炔气瓶外的公称工作压力小于或等于3.45MPa的气瓶；（4）公称动作温度为102.5℃的易熔塞合金装置用于公称工作压力大于3.45MPa且不大于30MPa的气瓶。故选C。
单选题,[2019年][河南中安]电气隔离是指工作回路与其他回路实现电气上的隔离。其安全原理是在隔离变压器的二次侧构成了一个不接地的电网，防止在二次侧工作的人员被电击。关于电气隔离技术的说法，正确的是（    ）。,A.隔离变压器一次侧应保持独立，隔离回路应与大地有连接|B.隔离变压器二次侧线路电压高低不影响电气隔离的可靠性|C.为防止隔离回路中各设备相线漏电，各设备金属外壳采用等电位接地|D.隔离变压器的输入绕组与输出绕组没有电气连接，并具有双重绝缘的结构,D,【答案】D 【解析】本题考查电气隔离，属于高频考点。做题思路：电气隔离的核心是“隔离”，即不再进行其他各类连接，保证自己独立隔离的状态，从而确保安全。 A错误，为保证安全，被隔离回路不得与其他回路及大地有任何连接；B错误，二次边线路电压过高或二次边线路过长，都会降低电气隔离的可靠性；C错误，为了防止隔离回路中两台设备的不同相线漏电时的故障电压带来的危险，各台设备的金属外壳之间应采取等电位联结措施。故选D。
单选题,[2019年][河南中安]锻造加工过程中，当红热的坯料、机械设备、工具等出现不正常情况时，易造成人身伤害。因此，在作业过程中必须对设备采取安全措施加以控制。关于锻造作业安全措施的说法，错误的是（    ）。,A.外露传动装置必须有防护罩|B.机械的突出部分不得有毛刺|C.锻造过程必须采用湿法作业|D.各类型蓄力器必须配安全阀,C,【答案】C 【解析】本题考查锻造作业安全措施，属于高频考点。做题思路：铸造作业中，在工艺可能的条件下，宜采用湿法作业，湿法也不是“必须”，只是“宜”。 A正确，外露的传动装置（齿轮传动、摩擦传动、曲柄传动或皮带传动等）必须有防护罩；B正确，锻压机械的机架和突出部分不得有棱角或毛刺；C错误，铸造作业中，在工艺可能的条件下，宜采用湿法作业【是铸造作业而不是锻造作业】；D正确，任何类型的蓄力器都应有安全阀。故选C。
单选题,[2019年][河南中安]电气设备运行过程中如果散热不良或发生故障，可能导致发热量增加、温度升高、达到危险温度，关于电动机产生危险温度的说法，正确的是（    ）。,A.电动机卡死导致电动机不转，造成无转矩输出，不会产生危险温度|B.电动机长时间运转导致铁芯涡流损耗和磁滞损耗增加，产生危险温度|C.电动机长时间运转由于风扇损坏、风道堵塞会导致电动机产生危险温度|D.电动机运转时联轴节脱离，会造成负载转矩过大，电动机产生危险温度,C,【答案】C 【解析】本题考查危险温度，属于高频考点。 A错误，电动机被卡死属于机械故障的一种，属于可能产生危险温度的情况；B错误，电动机长时间运转不会导致铁芯涡流损耗和磁滞损耗增加，对于电动机、变压器、接触器等带有铁芯的电气设备，如铁芯短路，或线圈电压过高，或通电后铁芯不能吸合，由于涡流损耗和磁滞损耗增加都将造成铁芯过热并产生危险温度；D错误，电动机运转时联轴节脱离没有负载，处于空载状态。故选C。
单选题,[2019年][河南中安]预防火灾爆炸事故的基本原则是：防止和限制燃烧爆炸的危险因素，当燃烧爆炸物不可避免时，要尽可能消除或隔离各类点火源，阻止和限制火灾爆炸的蔓延扩展，尽量降低火灾爆炸事故造成的损失。下列预防火灾爆炸事故的措施中，属于阻止和限制火灾爆炸蔓延扩展原则的是（    ）。,A.严格控制环境温度|B.安装避雷装置|C.使用防爆电气|D.安装火灾报警系统,D,【答案】D 【解析】本题考查火灾爆炸预防基本原则，属于高频考点。做题思路：判断措施或装置发挥作用是在火灾爆炸事故发生前还是发生后。 工业生产过程中，存在多种引起火灾和爆炸的点火源，例如，化工企业中常见的点火源有明火、化学反应热、化工原料的分解自燃、热辐射、高温表面、摩擦和撞击、绝热压缩、电气设备及线路的过热和火花、静电放电、雷击和日光照射等。ABC属于消除或隔离各类点火源，D属于火灾爆炸发生后，阻止和限制火灾爆炸蔓延扩展的措施。故选D。
