题型,题目,选项,答案,解析
单选题,[2019年][河南中安]某工程基坑深度7.25m，根据《建筑施工安全技术统一规范》（GB50870），在建筑施工安全技术量化分析中，该基坑危险等级系数取值是（ ）。,A.1.10|B.1.05|C.1.00|D.0.95,A,本题主要考查的是基坑危险等级。属于数字的考察。A正确，根据《建筑施工安全技术统一规范》（GB50870），条文说明3.0.1超过一定规模的、危险性较大的分部分项工程可对应于Ⅰ级危险等级的要求，危险性较大的分部分项工程可对应于Ⅱ级危险等级的要求，这样做可以较好地与现行管理制度衔接。基坑深度7.25m属于超过一定规模的危险性较大的分部分项工程，属于Ⅰ级危险等级。根据《建筑施工安全技术统一规范》（GB50870）建筑施工危险等级系数表可知，该基坑危险等级系数取值为1.10。故选A。
单选题,"[2019年][河南中安]一、单选题
2
标记
收藏
塔式起重机的起升机构是为实现物料上升或下降运动而设立的机械装置。下列装置中，不属于塔式起重机起升机构的是（ ）。",A.驱动装置|B.制动装置|C.传动装置|D.回转支承装置,D,本题主要考查的是塔吊的起升机构。做题思路：起升无转动。D不属于，ABC属于。塔式起重机的起升机构主要由驱动装置、传动装置、制动装置和工作装置四个部件组成，塔式起重机的回转机构由回转支承装置和回转驱动装置两部分组成。故选D。
单选题,[2019年][河南中安]防坠安全器是施工升降机重要的安全装置，应在有效的标定期限内使用。某防坠安全器本次标定日期为2019年3月30日，下次最晚标定日期是（ ）。,A.2019年9月29日|B.2020年3月29日|C.2020年9月29日|D.2021年3月29日,B,本题主要考查的是防坠器的检测周期。属于数字的考察。做题思路：1年。B正确，根据《施工升降机安全规程》（GB10055-2007），11.1.9防坠安全器只能在有效的标定期限内使用，有效标定期限不应超过一年。题干中给出标定日期为2019年3月30日，最晚是在2020年3月29日。故选B。
单选题,[2019年][河南中安]施工单位选用50t汽车式起重机进行钢结构吊装作业，根据《建筑机械使用安全技术规程》（JGJ33），在吊装作业前制定了具体的安全措施。关于吊装作业安全措施的说法，正确的是（ ）。,A.汽车式起重机无支腿吊装作业时，应进行专项安全技术交底|B.吊物在空中长时间停留时，司机锁住起升卷筒后离开操作室|C.在进行额定载荷试验时，通过调整机体使回转支撑面的倾斜度符合要求|D.汽车式起重机起吊作业时，汽车驾驶室内不得有人,D,本题主要考查的是汽车吊吊装作业安全措施。属于常规考点。做题思路：汽车吊不属于特种设备，作业时司机不得离开操作室，严格按照正常的吊装作业进行安全管理。A错误，错在“无支腿作业，这是不允许的”。依据《建筑机械使用安全技术规程》（JGJ33），4.3.4作业前，应全部伸出支腿，调整机体使得回转支撑面的倾斜度在无载荷时不大于1/1000（水准居中）；D正确，4.3.9汽车式起重机吊装作业时，汽车驾驶室内不得有人，重物不得超越汽车驾驶室上方，且不得在车的前方起吊；B错误，错在“司机离开操作室”。4.3.12当重物在空中需停留较长时间时，应将起升卷筒制动锁住，操作人员不得离开操作室；C错误，错在“试验时调整机体倾斜度”。依据《汽车起重机和轮胎起重机试验规范》（GB/T6068-2021），15.1.1使用支腿支撑的起重机，支腿处于规定的作业位置，所有轮胎离地。故进行试验前已经完成倾斜度调整，在试验时不得通过调整机体使回转支撑面的倾斜度符合要求。故选D。
单选题,"[2019年][河南中安]一、单选题
5
标记
收藏
高处作业吊篮悬吊平台下滑速度达到锁绳速度或悬吊平台倾斜角度达到锁绳角度时，能自动锁住安全钢丝绳并使悬吊平台停止下滑或倾斜的装置是（ ）。",A.限位器|B.安全锁|C.提升机|D.导向轮,B,本题主要考查的是吊篮的安全锁的作用。属于高频考点。做题思路：能锁绳的只有安全锁。B正确，安全锁是悬吊平台下滑速度达到锁绳速度或悬吊平台倾斜角度达到锁绳角度时，能自动锁住安全钢丝绳，使悬吊平台停止下滑或倾斜的装置。故选B。
单选题,[2019年][河南中安]某施工现场单独设置一台分配电箱为钢筋加工区内的钢筋加工机械供电。根据《施工现场临时用电安全技术规范》（JGJ46），钢筋加工机械开关箱与分配电箱的最远距离不得超过（ ）。,A.10m|B.20m|C.30m|D.40m,C,本题主要考查的是分配电箱和开关箱的距离。属于高频考点。做题思路：分开30米（分配电箱与开关箱30米），开机3米（开关箱与机电设备3米）。C正确，根据《施工现场临时用电安全技术规范》（JGJ46），分配电箱与开关箱之间，开关箱与用电设备之间的压缩配电间距有如下要求：①分配电箱应设在用电设备或负荷相对集中的场所；②分配电箱与开关箱的距离一般不超过30m；③开关箱与其供电的固定式用电设备的水平距离不应超过3m。故选C。
单选题,[2019年][河南中安]某施工现场临时用电安全检查，发现TN-S供电系统中一台配电箱的金属电器安装板未做保护接零。根据《施工现场临时用电安全技术规范》（JGJ46），正确的做法是将金属电器安装板（ ）。,A.与PE线端子板做电气连接|B.与配电箱的重复接地引上线做电气连接|C.与配电箱的金属防护棚做电气连接|D.与N线端子板做电气连接,A,本题主要考查的是金属电器安装板与N线和PE线的接触方式。属于高频考点。做题思路：N线有电，要绝缘。PE是保护，要连接。A正确，配电箱的电器安装板上必须设N线端子板和PE线端子板。N线端子板必须与金属电器安装板绝缘；PE线端子板必须与金属电器安装板做电气连接。进出线中的N线必须通过N线端子板连接；PE线必须通过PE线端子板连接。故选A。
单选题,[2019年][河南中安]施工现场高处作业时应在临空一侧设置防护栏杆，防护栏杆由横杆、立杆及挡脚板等组成。根据《建筑施工高处作业安全技术规范》（JGJ80），当防护栏杆采用两道横杆时，上杆距地面高度是（ ）。,A.1.00m|B.1.10m|C.1.20m|D.1.50m,C,本题主要考查的是防护栏杆的高度。属于高频考点。做题思路：上1.2，中0.6。C正确，根据《建筑施工高处作业安全技术规范》（JGJ80），4.3.1防护栏杆应为两道横杆，上杆距地面高度应为1.2m，下杆应在上杆和挡脚板中间设置。故选C。
单选题,"[2019年][河南中安]一、单选题
9
标记
收藏
某施工现场进行落地式外脚手架搭设作业，作业高度45m，在脚手架搭设下方设置了警戒隔离区域。警戒隔离区距架体外侧的距离至少应为（ ）。",A.3m|B.4m|C.5m|D.6m,D,"本题主要考查的是高处坠落半径。属于高频考点。做题思路：2-5-15-30,对应3/4/5/6。D正确，45米的作业高度，坠落半径是6米，所以警戒区域至少6米。根据《建筑施工高处作业安全技术规范》（JGJ80），7.1.1交叉作业时，下层作业位置应处于上层作业的坠落半径之外，高空作业坠落半径应按表7.1.1确定。安全防护棚和警戒隔离区范围的设置应视上层作业高度确定，并应大于坠落半径。故选D。"
单选题,"[2019年][河南中安]一、单选题
10
标记
收藏
根据《建筑施工高处作业安全技术规范》（JGJ80），当安全防护棚下有机动车辆通行时，棚底至地面高度至少应为（ ）。",A.2.50m|B.3.00m|C.3.50m|D.4.00m,D,本题主要考查的是安全棚的高度。属于高频考点。做题思路：过人的3米，过车的4米。D正确，根据《建筑施工高处作业安全技术规范》（JGJ80），7.2.1当安全防护棚为非机动车车辆通行时，棚底至地面高度不应小于3m；当安全防护棚为机动车辆通行时，棚底至地面高度不应小于4m。故选D。
